text	label	score
孔老二	1	0.354133
鲁H欢迎您	2	0.975635
宝藏太好看了	2	0.999324
沂源人狂喜	2	0.794291
大青岛	2	0.9877
在山东的七年好怀念阿	2	0.998144
有幸看过泰山日出	2	0.99559
前面的我可怜的枣庄都没有	0	0.986914
管我自己	0	0.104446
圆明园	2	0.999164
航拍历史	2	0.993833
可爱的小曲	2	0.999928
恋爱	2	0.998149
三人行必有三人	2	0.988671
吼吼吼	2	0.988999
不是雾霾吧我记得是水雾	0	0.99257
从我家房顶飞过啊哈哈	2	0.995202
山东蓬莱	2	0.91835
太辛苦了	2	0.298968
济南这就没了	0	0.349468
打倒孔家店救出孔夫子	2	0.505601
看不见我	0	0.845709
看不见我	0	0.845709
名场面	2	0.288798
济南终于想起我了	2	0.994815
烟店轴承	2	0.62126
离市区太远了	0	0.494686
泰山门票贵买一次你能爬一年	2	0.62377
福田雷沃	2	0.959785
栖霞	2	0.721732
泰山没排面	1	0.278138
180在山东遍地都是	2	0.646007
袁晨我喜欢你	2	0.999936
隆回海王袁晨	2	0.564688
隆回一中袁晨实名观看	2	0.910707
早安隆回海王袁晨	2	0.941365
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨报道	2	0.495043
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨实名观看	2	0.910707
隆回一中袁晨实名观看	2	0.910707
李清照	2	0.935472
一戳一蹦哒	2	0.95531
注册船只我记得是需要挂所在国国旗的	2	0.821534
安东飞马	2	0.785258
这一看就是棘皮动物哈哈哈哈哈哈	2	0.919273
苏州中学毕业的路过从府学时代开始学校和文庙就是一体的	2	0.995952
冷知识海带的祖先是异养生物直到它吞了一个藻却没消化	0	0.895694
海洋生物环科佬路过	2	0.828565
青岛以后都是农业	2	0.361004
这里的小孩怎么上学	0	0.0908665
王先鸿我喜欢你我是13班的	2	0.996747
王鸿我喜欢你我是13班的	2	0.997878
这词是朱广权写的吧 doge	0	0.609492
中南博才高级中学实名报道	2	0.815465
济南你还记得我不	2	0.404005
曲阜	2	0.975317
莱芜危	0	0.787704
那个就是崂山可乐哈哈哈哈哈	2	0.816158
怎么不是红富士的	0	0.996232
怎么不是红富士的	0	0.996232
宇宙滕州欢迎您	2	0.983663
得益于这些岛屿的存在渤海能成为中国的内海	2	0.158989
泰山顶的日出很震撼	2	0.999037
平度哭了	2	0.526
东营不配拥有姓名	1	0.0118804
东营出现了阿哈哈哈	2	0.708423
东营不配了啊哈哈哈哈绕过去了	2	0.0553201
烟台人在东营	2	0.753975
昨天去啦	2	0.981399
山师长清区来啦	2	0.818383
非战斗人员请离开	0	0.997102
鸡你太美	2	0.87741
鸡你太美	2	0.87741
鸡你太美	2	0.87741
哈哈哈哈看到隔壁交院了	0	0.491197
真没日照啥事儿啊	0	0.985504
没错蔬菜都有房子了而且没贷款	2	0.738754
秸稈還田要考家人們	2	0.633403
航拍自己家	2	0.950803
希望我可以有个好成绩家人平平安安	2	0.969397
未成年人怎么不可以喝呢…	0	0.70097
女人太可爱了	2	0.99965
高考必胜	2	0.953817
欢迎大家报考中国石油大学 华东	2	0.986653
青岛确实比济南富有因为做外贸很多但济南也有很多独特之处别比了	2	0.976244
拍拍	2	0.801075
论团结的重要性	2	0.844359
排排站	2	0.5262
请回顾上一节课的两种人醒着的和醉着的	0	0.677869
尼玛莫名很可爱好不好虽然其实跟着音乐挺燃的	0	0.511338
两种人醒着的和醉着的好了我知道旁白老师在卖萌了	2	0.88177
泉城济南欢迎您	2	0.991598
惊起一滩鸥鹭	2	0.907432
趵突泉泉趵突三个眼子一般粗三股水光咕嘟咕嘟咕嘟光咕嘟	2	0.0702439
烟台苹果好大个有买过按个卖的贼大	2	0.136741
济宁	2	0.455325
蒙德	2	0.586685
山东的省会是原来济南啊doge	2	0.933292
又一个重点中国北方最大的淡水湖	2	0.986855
不胶东孩子知道微山湖是因为咸鸭蛋	0	0.687855
ok啊现在是1949年10.1	2	0.953115
因为半岛一圈都是海哈哈哈哈哈	2	0.986602
看不到我	0	0.920969
烟台对对对又是我	2	0.919654
青岛还是烟台充的多	2	0.945585
烟台苹果才是yyds	2	0.539556
眼泪夺眶而出	2	0.979221
顾涌顾涌要笑死我	0	0.956945
大青岛	2	0.9877
我老师是孔子后人嫡系的	2	0.989931
我骄傲	2	0.997766
青岛	2	0.964774
青岛人报道嘿嘿	2	0.986701
官方吐槽	0	0.984092
自有中华便在中心	2	0.79744
粒粒皆幸苦	2	0.216499
好客山东欢迎您	2	0.979558
青岛人排面	2	0.660444
2023过合格考2025高考必胜	2	0.926112
QAQ	2	0.643789
兰陵王现场改名枣庄王	0	0.442105
枣庄是以前的兰陵	2	0.565544
我绿了	2	0.783774
好想吃	2	0.9997
我还没葱高QAQ	0	0.830935
人我过的还不如蔬菜	0	0.986343
山东人诱捕器	2	0.88582
怎么没有威海	0	0.945897
原来你也玩原神	2	0.954372
看不见	0	0.76568
篮球	2	0.881518
看不见我	0	0.845709
德州人报道但好像没有排面	0	0.569437
大佬们bgm是什么	2	0.00971821
给我菏泽一个镜头好吗	0	0.341481
终究是菏泽不配了	0	0.986069
他娘的咋没有俺东营大帝国啊	0	0.977092
面试过关成功拿到教师资格证	2	0.990656
会当凌绝顶一览众山小	2	0.98735
山东本意民以食为天都给老子吃得饱饱的	2	0.806535
长得没我家葱高你还	0	0.989262
赶蒽殿理	2	0.916189
大青岛	2	0.9877
地理作业	2	0.760345
山东济南中国青岛世界潍坊宇宙寿光 狗头	2	0.172
保熟吗	0	0.927899
香雪	2	0.459389
推荐大家山东省拍摄的关于长岛的纪录片长山列岛很好看	2	0.998157
美	2	0.999786
山东是个宝地	2	0.733712
考点	2	0.968004
开学考成功	2	0.950571
荩忱将军的家乡就是聊城临清	2	0.972963
张自忠千古	2	0.998605
孔庙祈福	2	0.998793
逢考必过	2	0.997138
左下角蜜雪冰城	2	0.978187
我临清的	2	0.475638
什么黄渤	0	0.968096
看见你了	2	0.305529
南方的泰安	2	0.752592
又多了必去城市	2	0.999063
前面的河南人你一辈子也买不起青岛房子	0	0.495496
在青岛买房的河南人你做梦呢	2	0.0532219
可爱	2	0.999956
烟台啊啊啊啊啊啊啊啊	2	0.781709
山东欢迎你	2	0.976056
四面荷花三面柳一城山色半城湖	2	0.948755
如果信仰有颜色那一定是中国红	2	0.667184
好土好亲切山东人自豪	2	0.998127
前面说航母的近几年真的有了	2	0.303101
巨野高级中学棒7级7班某某某替棒7级23班王天一打卡	2	0.994692
茌平报道	2	0.339996
接下来欢迎大家收看好客山东逆叛聊城	2	0.908069
宾夕法尼亚州和德克萨斯州	2	0.910026
姓孔的好像基本都是	0	0.041586
崂山白花洗脚水2333	0	0.773509
山东排面	2	0.807272
红岸基地	2	0.971
我去过	2	0.960615
崂山可乐真的好喝相信我真的	2	0.984689
各位我测你们吗	0	0.996928
高考求过	2	0.961704
对反反复复的语言和斤斤计较的方法大概很多功夫	0	0.867222
画头发太黑头发黄头发	0	0.91788
山东聊城人前来报到	2	0.90874
基因检测结果大部分孔姓还真是孔子的后裔不管是南孔还是北孔	2	0.71262
厦门大学	2	0.952527
居然没有台湾科比科比	0	0.99378
为什么感觉如此的凄凉悲壮	0	0.982137
听着都好耳熟啊	2	0.998597
我特别不理解为什么听着要结束了	0	0.994312
感觉差点要撞上了	0	0.850175
我家都没这么好呵呵	1	0.93962
好大	2	0.995431
什么中国版得克萨斯	0	0.979746
脚沾泥土手捧海水行尊仁礼心向苍穹	2	0.898234
哈哈哈哈哈哈调皮	2	0.870461
有谁是直接跳到住的地方看的	0	0.00538998
上岸	2	0.588574
2023高考上岸	2	0.949918
真的写不下去了呜呜寒假作业可恶	0	0.997115
全是高考题	2	0.902218
华夏长子	2	0.977085
岱宗夫如何齐鲁青未了造化钟神秀阴阳割昏晓荡胸生层云决眦入归鸟会当凌绝顶一览众山小	1	0.92587
好客山东欢迎您	2	0.979558
聊城	2	0.904653
大天鹅你吃一只可太刑了	0	0.954438
您正在收看的是动物世界	2	0.952184
聊城	2	0.904653
zmf加油	2	0.999776
滨河的点个赞	2	0.999205
第四季啥时候上B站啊	2	0.758583
马戏团	1	0.618704
山东农业就是很牛啦都是吃没办法	2	0.133641
淄博人报道	0	0.00992378
山东排面	2	0.807272
山东欢迎你	2	0.976056
本期文案最好的一集	2	0.994769
德州:你别盯着我的齐河看	0	0.530436
济南济南济水之南	2	0.960284
哎呦一辆接一辆太可爱了	2	0.987711
2024中考成功	2	0.993513
2024中考成功	2	0.993513
期末90+	2	0.819471
2025中考加油	2	0.99808
从市场来到牛奶放下时以后能够增氧的体验	2	0.940765
保佑我高考加油	2	0.998443
行尊仁礼心向苍穹	2	0.982084
共和国最年轻的土地	2	0.992907
黄河入海我们回家	2	0.989792
趵突泉今天趵突了吗	2	0.12516
趵突泉今天趵突了吗	2	0.12516
去过很好看	2	0.999902
看到淄博我还愣了一下居然有我老家	0	0.110219
青岛的海很漂亮	2	0.999741
孔肖吟你在吗	0	0.94528
东北都有荷花好吧哈哈哈哈	2	0.887893
新·直升机费油飞法	2	0.660277
崂山啤酒	2	0.386007
兖州	2	0.864363
为什么要在纪录片里面刷爱豆抹黑吗	0	0.965078
我感觉我们很穷	0	0.808626
2023成功上岸中传	2	0.875071
我还没去过青岛	0	0.259026
叶凡在吗	0	0.837197
155有葱白高吗	0	0.492143
烟台出现三四次了	1	0.94345
滨州滨州	2	0.879243
山东济南	2	0.967032
东方的耶路撒冷	2	0.602441
济南我就这么短	0	0.958433
老火车站惋惜	1	0.0456768
豆腐乳之乡	2	0.93385
山东人多卷的厉害	2	0.512047
济南不是这进度条都快跑完了我在哪	0	0.971903
天不生夫子万古如长夜	2	0.770523
中国不能失去山东就像西方不能失去耶路撒冷	0	0.98794
一米七在山东排队你得靠前站	1	0.00523686
这是圣山	2	0.349066
北国江南只因南	2	0.865201
擦屁股的卫生纸	2	0.347394
济南自从吞并了章丘我的土味更浓厚了	2	0.817376
济南等等咋就说个章丘就走了呢	0	0.815637
宾夕法尼亚	2	0.944641
山东哪个城不是大牌	0	0.812133
济南我是谁我在哪	2	0.253514
济南人表示要团结	2	0.839921
青岛交警节	2	0.622929
开局一个小渔村这事怎么这么耳熟	0	0.965343
山东无弱城	0	0.650695
终于到济南了	2	0.997016
2023事事顺意	0	0.0466673
济南就这么没排面吗	0	0.979192
我去自己家	2	0.792782
哔哩哔哩干杯	0	0.55942
泪目勤劳的山东人	2	0.979731
他遇水那答辩高	2	0.752568
2024高考加油	2	0.997467
本人的英语老师就是孔子的后人	2	0.995841
枣庄冲冲冲	2	0.852358
潍坊人躁起来	0	0.00345972
海豹就是山东的怎么成客了	0	0.531304
欢迎大家来潍坊玩	2	0.987879
济南人前来报到	2	0.953693
求背景音乐名求背景音乐名	2	0.772142
济南人前来报到	2	0.953693
就是打死不说日照是吧	0	0.99896
四过日照而不入	0	0.731504
三过日照而不入	0	0.800349
打死也不说日照是吧	0	0.99926
2025中考加油	2	0.99808
2025	2	0.92255
2023	2	0.816717
中考考好地理	2	0.991632
哈哈哈哈哈哈哈哈哈哈或或或或或或或或或或或或或或或或或或或	2	0.809851
我入镜了	2	0.787933
宁愿绕远路也不愿看日照的飞机是屑	0	0.996626
曲阜	2	0.975317
骄傲	2	0.999382
好客山东欢迎您	2	0.979558
胶州湾	2	0.653505
欢迎大家来山东青岛一块哈啤酒吃嘎啦	2	0.989625
交警加工资	0	0.443955
大刘球闪林云	2	0.98328
浩克山东 确信	2	0.829246
终于介绍山东的省会枣庄了	2	0.992419
世界潍坊	2	0.989261
欢迎来到宇宙寿光	2	0.964361
这就是古齐国	2	0.91164
知道山东为什么发达了吧	0	0.971293
山东的省会不是枣庄吗	0	0.927242
逢考必过	2	0.997138
秀海洋生物儿	2	0.878556
山东济宁	2	0.924737
好客山东欢迎您	2	0.979558
中国海域唯一鳍足类动物	2	0.713252
人文景观来了	2	0.959049
菏泽一中前来报到	2	0.895538
我男朋友是山东的	2	0.936848
好客山东欢迎恁	2	0.74706
25高考加油	2	0.998381
2023心想事成	2	0.959188
防爆防火防盗防弹防山东	2	0.937988
不要忘记这些劳动人民们的辛苦不要忘记我们吃的食物都来自于谁	2	0.282881
强迫症对山东真的是爱了	2	0.66197
田鸡傲游	2	0.644311
山东欢迎您	2	0.977719
山东人牌面	2	0.931839
聊城人在此	2	0.683366
致敬	2	0.999876
没有临沂	0	0.762113
亿不小心	0	0.932141
你礼貌吗	0	0.985522
造型朴素	2	0.725974
海尔海信青岛啤酒	2	0.821883
花石楼	1	0.990858
海上第一仙山	2	0.968598
大明湖是济南的	2	0.977983
济宁	2	0.455326
好美啊	2	0.999971
哈哈哈哈哈哈	2	0.914082
这是淄博	2	0.0482359
辛安煤专程立本闪亮登场	2	0.826541
沂源一中程立本向您问好	2	0.902665
枣庄八中程立本前来报到	2	0.895538
大明湖明湖大	2	0.941711
包邮吗	0	0.54801
好美来自宁波的爱	2	0.999978
这里的小提琴太有感觉了吧	2	0.759426
曲阜人报道	2	0.730783
东营市胜利第一中学报道	2	0.495043
希望考一个好专业	2	0.945821
邹城市实验中学高三	2	0.997356
图1棒0	2	0.869913
秦国给吾一点时间	0	0.92531
德州人在此	2	0.695538
我个南方人身高130几居然没有一根葱高	0	0.962975
19世纪	2	0.888397
你瞧瞧现在哪有瓜这都是大棚的瓜	0	0.966593
等下看着车这不是刚哥的车盒盒盒盒	0	0.356242
哈啤酒	2	0.940679
我看到我和我弟了	2	0.175609
对有一次我弟还拉着我去	2	0.863961
淄博	2	0.926
来了来了学作文的童鞋抄好	2	0.825453
牛笔的文案来了	2	0.453376
炫酷记住了要考	2	0.990998
欢迎大家来淄博吃烧烤	2	0.967845
海带缠潜艇	2	0.832774
现在看出来渤哥的名字格局有多大了吧	1	0.959242
本土山东临沂人报道	2	0.496303
礼貌吗哈哈哈哈	2	0.502056
山东临沂欢迎您	2	0.970089
大学下铺就是临清的	2	0.760747
滨医学子打卡	2	0.867699
完啦	2	0.95749
再见2022	0	0.908316
齐长城	2	0.786018
好美哦	2	0.999975
一不小心	0	0.309655
土琵琶	1	1
哇塞古筝我最爱弹的	2	0.999639
哇塞好多房	2	0.973691
哇塞	2	0.998034
新天鹅堡在德国天鹅在中国	2	0.717087
客机是什么意思	0	0.997478
上岸	2	0.588574
济南挖地铁等于勘探水系	2	0.467858
京沪铁路吧高铁只运客	0	0.519638
现在叫洪涝灾害	1	0.270353
现在枣庄也是京沪铁路上山东的南大门	2	0.633647
青岛啤酒趵突泉白酒	2	0.96306
山东青岛欢迎您	2	0.976558
对山东太偏心了	0	0.990093
我大郯城哈哈	2	0.995372
还侧躺呢	2	0.29533
求这首BGM	2	0.961214
钙奶饼干报到	2	0.90974
滨州人	2	0.933254
如此江山岂不让人留恋	2	0.874014
菏泽	2	0.87159
临沂人来啦	2	0.912665
天本四川人突然想起来我来过这里就在这个红色雕像下面还拍了照	2	0.981812
2023高考加油	2	0.996134
有人住吗	0	0.953773
白日依山尽黄河入海流	2	0.980238
青岛大学欢迎你	2	0.973538
美女多吗	2	0.194152
反反复复错误	0	0.954674
济南	2	0.979865
作为四川宜宾的很想看看甜润的家乡	2	0.983544
绷不住了最后这段	0	0.462777
服了	0	0.985404
温知识鲁菜是八大菜系中唯一的北方菜	2	0.683996
阿根廷的火车头那个串戏了喂	2	0.440307
烟台大学的别走	0	0.0795077
好客山东欢迎您	2	0.979558
什么观后感研究生躺着看	2	0.740903
山东是中国的青岛是世界的	2	0.987948
泰安不配了	0	0.951653
泰山中学	2	0.959017
JIN必上岸一切顺利	2	0.991904
哇塞哇塞哇	2	0.998861
临沂的出来啦哈哈哈哈哈哈哈哈	2	0.963221
到我家啦哈哈哈哈哈哈	2	0.994422
历史重点画下来啊	2	0.991898
地理老师路过	2	0.98038
23考研上岸	2	0.930936
鲁Q报道	2	0.814143
二本鲁东被bb	2	0.158792
聊城大学欢迎你	2	0.976019
特别腥肯定屏幕里	0	0.998251
改成农业频道了	0	0.956288
济南哭了	2	0.959996
直升飞机拐个弯去日照吧	2	0.298624
我是大明星快乐向前冲	2	0.8904
让我看看空中日照吧	2	0.124161
音质有点差	0	0.999452
西安的地铁是考古队修的济南的地铁是勘探局修的	2	0.919769
这里荒凉的很连个人影都没有	0	0.956554
许愿的都是哪来的都比除了文言文都不归孔夫子管	0	0.796176
19年有幸看过一次泰山的封禅大典	2	0.990705
这个大棚里面真的热啊	0	0.754769
别再刷你那个小爱豆了	0	0.980911
临沂大学的临沂人来看	2	0.925155
这都是大棚的瓜	0	0.424201
烟台开发区	2	0.540956
烟台yyds	2	0.80096
烟台开发区找到老乡了烟台开发区一中	2	0.862297
烟台烟台	2	0.98065
山东烟台我爱你	2	0.99787
嘉峪关小学校友报到	2	0.942506
我大青岛	2	0.993597
青岛人来报到	2	0.905969
滨州滨州	2	0.879243
滨州滨州滨州滨州滨州滨州滨州	2	0.874202
山东省济南市章丘	2	0.797144
这是我家	2	0.923006
龙口实验中学欢迎您光临	2	0.945394
好客山东欢迎您	2	0.979558
哈哈哈哈	2	0.975279
羡慕	2	0.999891
诸城有吗	0	0.753799
张元英张元英张元英	2	0.95126
前面的你爱豆不会是英子吧	0	0.228164
泰安一中新校区	2	0.976495
看不见我	0	0.845709
2027年考上国防科技大学	2	0.961585
如果信念有颜色那一定是中国红	2	0.27431
山东济宁梁山报道啦	2	0.672477
哈哈哈	2	0.998853
真有感觉啊	2	0.0969843
前几个月出差济南晚上去的大明湖超然楼很漂亮	2	0.99709
太美了	2	0.999773
画面太温馨了	2	0.999924
对的这里有纯种的山东狮子猫	2	0.959444
舌尖上的山东动物世界	2	0.99482
可爱捏捏	2	0.999618
可爱捏	2	0.999816
绝了这氛围感	2	0.998224
山东工业更强劲但是只展示了农业	1	0.632852
舌尖上的山东	2	0.983255
可爱捏	2	0.999816
好客山东欢迎您	2	0.979558
不是咸鸭蛋吗	0	0.997727
来山东混口饭吃是吧	0	0.989856
来我们蓬莱了呀	2	0.777936
干农业可真不容易啊	2	0.182996
我的世界	2	0.996135
大明湖里面有一个楼叫超然楼我当时记得为了拍这个而在去往他的方向的桥摔了一跤痛死	2	0.416981
我爷爷奶奶就在三孔旁边那住着去了好几趟	2	0.743694
地铁	2	0.901627
前方核能	2	0.441225
动物世界既视感	2	0.975294
没有个1米8的孩子都不好意思参赛	0	0.869699
华中师范大学等我	2	0.885561
失败的男人	0	0.900931
我一定要去泰山一次	2	0.99679
哇好壮观	2	0.999379
胶州湾还是高中学历史的时候听过	2	0.813953
德州人省流:没有德州	2	0.607572
临沂表示我沂蒙山区不服	0	0.648962
镬耳屋	2	0.735908
现在都有空间站了还能出仓	2	0.908162
大钦岛的海带真的好吃	2	0.984852
天下相亲与相爱	2	0.963906
小时候一直嚷着出省玩长大发现家乡的美	2	0.999453
此东海也	2	0.712209
欢迎你们来我们山东来玩	2	0.995032
飞起来真的好漂亮	2	0.999843
三季最佳文案了	2	0.993187
前方高能泪目预警	2	0.217933
城阳六中报道	2	0.847393
潍坊奎文报道	2	0.814409
实习去过	2	0.981566
云南蔬菜大棚更霸气	2	0.994655
济南	2	0.979865
芝罘岛那边吗	0	0.650045
欢迎来到我的家乡山东	2	0.997167
2024高考成功一切顺利	2	0.997902
白日依山尽大河入海楼	2	0.852624
极限挑战	2	0.975348
齐河应该不容易划到济南再划德州没啥了	0	0.78479
出不去烟台了	0	0.569434
怎么感觉山东又南方又北方的	0	0.807538
2024我一定会考上cuc的	2	0.975236
2024cuc等我我一定会考上的	2	0.957329
聊城欢迎您	2	0.987591
都是梦破碎的声音	0	0.86486
择其善者而从之	2	0.315542
临淄区实验中学初四毕业班学生报到	2	0.348164
淄博人有没有淄博人	0	0.575162
前方名场面预警	0	0.405523
威海的	2	0.898959
好喜欢	2	0.999895
好客山东欢迎您	2	0.979558
公主楼	2	0.953386
青岛二中报道	2	0.735386
前面的咸鸭蛋笑死	0	0.901548
枣庄来啦	2	0.975161
济南呢哈哈哈哈哈哈哈哈哈	2	0.946307
烟台大青岛	2	0.963452
所以大连是山东的	2	0.730835
拉出来	0	0.384646
我可太熟悉这个了	2	0.894094
总值高但是人也够多啊	2	0.965428
济南版北京市地铁13号线	2	0.823244
广饶一中一区狗来报道	0	0.995865
2025清华心想事成	2	0.972027
如愿	2	0.980904
在这也算诋毁玻璃心	0	0.987541
我以为德州归到河北那集了	0	0.990836
德州看来是跟河北混了	0	0.951089
不已经第二了	0	0.915054
在青岛上的大学yyds	2	0.806147
胶州二中	2	0.673463
好想去山东啊	2	0.99922
南方人震惊	2	0.821169
大地色眼影盘哈哈哈消肿	2	0.994748
烟台苹果	2	0.957006
人从众	0	0.246934
好浪漫啊	2	0.999879
青西二中报道	2	0.472252
天不生夫子万古如长夜	2	0.770523
怎么没有弹幕	0	0.979618
临清市第一中学棒棒棒	2	0.9935
太美了	2	0.999773
从来没有见过这样的苹果	0	0.989331
在此回望山东自有中华它便在中心脚沾泥土手捧海水行遵仁礼心向苍穹	2	0.815851
山东德州欢迎您	2	0.967901
蓬莱人报道	1	1
去过长岛风力发电机印象最深刻	2	0.981773
喜欢吃葱的山东人在此	2	0.951709
我还记得没通车的时候走海底隧道竟然通车11年了	2	0.524269
小时候喜欢在海水浴场泡水了长大了更喜欢去礁石那里抓鱼捕虾	2	0.824825
崂山巨峰全程爬了我九个小时	2	0.827747
像鸡蛋酥	0	0.402746
有个小目标游遍中国大好河山	2	0.939529
行尊仁礼心向苍穹	2	0.982084
趵突泉	2	0.99825
弹幕呢	0	0.366458
弹幕呢	0	0.366458
滕州	2	0.904679
大明湖	2	0.984841
四清华园	2	0.942805
这个气象站是败笔	0	0.966983
有我家	2	0.965642
尹历史第一相山东聊印城莘县的武庙中一大半山东的孔子孙子文武双圣都是山东的	2	0.984513
胶州人在此	2	0.41128
卫生条件看威海	2	0.371797
